crisis_name,year_start,year_end,trigger,regions_affected,peak_ffpi,inflation_spike_pct,malnutrition_impact,people_affected_millions,source
2010-2011 Global Food Price Crisis,2010,2011,"Extreme weather events (Russian drought, Australian floods), export bans, biofuel demand","Middle East & North Africa, Sub-Saharan Africa, South Asia",229.9,15.0,Contributed to Arab Spring; 44M pushed into extreme poverty (World Bank),44.0,"World Bank, FAO"
2012 Sahel Food Crisis,2012,2012,"Severe drought in West Africa, high food prices, conflict in Mali",Sub-Saharan Africa (Sahel region),213.3,12.5,18.7M people food insecure; 1.1M children severely malnourished,18.7,"WFP, UNICEF, OCHA"
Yemen Civil War Famine,2015,2024,"Civil war, Saudi-led coalition blockade, economic collapse",Middle East & N.Africa (Yemen),,45.0,World's worst humanitarian crisis; 17.4M food insecure; 2.2M children acutely malnourished,17.4,"UNICEF, WFP, OCHA"
South Sudan Famine,2017,2017,"Civil war, economic collapse, hyperinflation",Sub-Saharan Africa (South Sudan),,835.0,"First declared famine since 2011 Somalia; 100,000 facing famine, 1M at brink",6.0,"IPC, WFP, FAO"
COVID-19 Pandemic Food Crisis,2020,2021,"Pandemic lockdowns, supply chain disruptions, income loss",Global — all regions affected,125.7,8.5,Up to 161M more people faced hunger (2020); global food insecurity rose 30%,161.0,"FAO SOFI 2021, World Bank"
East Africa Drought,2021,2023,"5 consecutive failed rainy seasons (worst in 40 years), La Niña","Sub-Saharan Africa (Horn of Africa — Somalia, Kenya, Ethiopia)",143.7,32.0,36.4M people food insecure; famine risk in Somalia; child wasting surged,36.4,"OCHA, WFP, FEWSNET"
Russia-Ukraine War Food Shock,2022,2023,Russia invasion of Ukraine; Black Sea grain export blockade; fertilizer supply disruption,"Global — especially Middle East, North Africa, Sub-Saharan Africa",159.7,22.0,FFPI hit all-time high March 2022; 345M people acutely food insecure globally (WFP),345.0,"FAO, WFP, World Bank"
Sri Lanka Economic Collapse,2022,2023,"Foreign exchange crisis, sovereign debt default, organic farming mandate failure",South Asia (Sri Lanka),,73.4,6.3M people food insecure (1/3 of population); school meal program disrupted,6.3,"WFP, IMF, World Bank"
Pakistan Floods Food Emergency,2022,2023,Catastrophic monsoon floods destroying 45% of crops; already high inflation,South Asia (Pakistan),,38.5,33M affected; 14.6M food insecure; 1.6M children suffering acute malnutrition in flood areas,33.0,"NDMA Pakistan, WFP, UNICEF"
Sudan Civil War Famine,2023,2024,RSF-SAF civil war; displacement of 10M+; destruction of agricultural areas,"Sub-Saharan Africa (Sudan, spilling to Chad, South Sudan)",,142.7,IPC declared famine in North Darfur (2024); 25.6M facing acute food insecurity,25.6,"IPC, WFP, OCHA"
Haiti Gang Violence Food Crisis,2023,2024,"Gang control of Port-au-Prince, infrastructure collapse, political vacuum",Latin America (Haiti),,42.1,5.4M facing acute food insecurity (half the population); IPC Phase 4 emergency,5.4,"IPC, WFP, OCHA"
Gaza Humanitarian Catastrophe,2023,2024,"Israel-Hamas war; siege cutting off food, water, fuel to 2.3M people","Middle East & N.Africa (Gaza, Palestine)",,53.7,IPC: Entire population (2.3M) facing crisis-level food insecurity; famine confirmed in northern Gaza,2.3,"IPC, UNRWA, WFP, WHO"
